time,open,high,low,close,volume
2024-02-20T09:15:00+05:30,707.5,711.48,705.9,711.43,1444714
2024-02-20T09:20:00+05:30,711.38,712.08,710.23,710.83,943462
2024-02-20T09:25:00+05:30,710.75,711.23,710.0,710.0,718832
2024-02-20T09:30:00+05:30,709.93,710.98,709.28,710.93,1009042
2024-02-20T09:35:00+05:30,710.93,713.0,710.3,712.73,791046
2024-02-20T09:40:00+05:30,712.85,715.7,712.2,714.83,825420
2024-02-20T09:45:00+05:30,714.83,714.9,713.25,713.45,511364
2024-02-20T09:50:00+05:30,713.25,713.98,712.75,713.53,524094
2024-02-20T09:55:00+05:30,713.58,715.35,713.4,715.23,582440
2024-02-20T10:00:00+05:30,715.2,715.28,714.18,714.45,370008
2024-02-20T10:05:00+05:30,714.28,717.0,714.0,716.98,1158980
2024-02-20T10:10:00+05:30,716.98,717.5,716.63,717.4,1299168
2024-02-20T10:15:00+05:30,717.43,719.43,717.43,719.28,2291816
2024-02-20T10:20:00+05:30,719.48,720.0,718.8,719.48,1133828
2024-02-20T10:25:00+05:30,719.45,720.43,719.1,720.4,828592
2024-02-20T10:30:00+05:30,720.38,721.38,720.1,720.23,880680
2024-02-20T10:35:00+05:30,720.25,720.48,719.53,720.03,572762
2024-02-20T10:40:00+05:30,720.0,720.15,718.23,718.6,755430
2024-02-20T10:45:00+05:30,718.58,718.88,717.8,718.75,593254
2024-02-20T10:50:00+05:30,718.75,719.15,717.73,718.48,534448
2024-02-20T10:55:00+05:30,718.48,719.03,718.28,718.63,533872
2024-02-20T11:00:00+05:30,718.58,719.45,718.18,719.45,358702
2024-02-20T11:05:00+05:30,719.55,720.18,719.0,720.18,504882
2024-02-20T11:10:00+05:30,720.03,720.95,720.0,720.68,431832
2024-02-20T11:15:00+05:30,720.85,721.75,720.5,721.55,821536
2024-02-20T11:20:00+05:30,721.73,722.0,721.0,721.3,307916
2024-02-20T11:25:00+05:30,721.25,721.5,721.0,721.33,275102
2024-02-20T11:30:00+05:30,721.33,722.5,721.3,722.23,445710
2024-02-20T11:35:00+05:30,722.25,722.43,721.0,721.05,441130
2024-02-20T11:40:00+05:30,721.1,722.28,720.5,721.93,791188
2024-02-20T11:45:00+05:30,721.9,722.55,721.53,722.13,1520722
2024-02-20T11:50:00+05:30,722.08,722.53,722.0,722.48,341376
2024-02-20T11:55:00+05:30,722.43,722.5,721.85,722.2,404820
2024-02-20T12:00:00+05:30,722.25,723.68,722.03,723.48,766356
2024-02-20T12:05:00+05:30,723.5,723.75,722.63,723.25,876166
2024-02-20T12:10:00+05:30,723.15,723.38,722.05,722.25,418232
2024-02-20T12:15:00+05:30,722.23,722.33,721.63,722.0,385768
2024-02-20T12:20:00+05:30,722.0,722.75,721.98,722.68,399762
2024-02-20T12:25:00+05:30,722.73,722.78,722.05,722.48,269864
2024-02-20T12:30:00+05:30,722.45,722.5,721.98,722.48,349892
2024-02-20T12:35:00+05:30,722.45,722.78,722.23,722.5,352072
2024-02-20T12:40:00+05:30,722.48,723.75,722.48,723.25,366318
2024-02-20T12:45:00+05:30,723.2,723.45,722.5,722.63,384762
2024-02-20T12:50:00+05:30,722.63,722.63,722.35,722.48,229948
2024-02-20T12:55:00+05:30,722.5,723.28,722.48,722.9,230622
2024-02-20T13:00:00+05:30,722.9,722.98,722.5,722.73,260588
2024-02-20T13:05:00+05:30,722.75,722.95,722.53,722.63,211596
2024-02-20T13:10:00+05:30,722.6,722.7,721.78,722.03,296632
2024-02-20T13:15:00+05:30,722.03,722.5,721.8,722.43,328628
2024-02-20T13:20:00+05:30,722.4,723.0,722.4,723.0,252706
2024-02-20T13:25:00+05:30,723.03,724.33,722.9,724.33,394650
2024-02-20T13:30:00+05:30,724.35,724.6,723.28,723.95,619478
2024-02-20T13:35:00+05:30,723.93,723.93,723.28,723.6,323416
2024-02-20T13:40:00+05:30,723.53,723.9,723.13,723.65,671380
2024-02-20T13:45:00+05:30,723.68,724.13,723.65,724.1,379308
2024-02-20T13:50:00+05:30,724.1,724.1,723.4,723.5,252652
2024-02-20T13:55:00+05:30,723.5,723.55,722.8,723.35,367186
2024-02-20T14:00:00+05:30,723.38,723.98,721.75,721.95,872550
2024-02-20T14:05:00+05:30,721.83,723.53,721.5,723.38,635894
2024-02-20T14:10:00+05:30,723.4,723.95,723.0,723.88,325322
2024-02-20T14:15:00+05:30,723.88,724.78,723.85,724.75,523302
2024-02-20T14:20:00+05:30,724.73,725.25,724.65,724.7,844480
2024-02-20T14:25:00+05:30,724.63,724.95,724.25,724.78,535174
2024-02-20T14:30:00+05:30,724.83,725.63,724.58,725.63,622930
2024-02-20T14:35:00+05:30,725.73,726.18,725.1,725.15,951282
2024-02-20T14:40:00+05:30,725.13,725.45,724.7,725.45,668196
2024-02-20T14:45:00+05:30,725.45,727.0,725.43,726.35,1415684
2024-02-20T14:50:00+05:30,726.35,726.73,726.03,726.13,1010798
2024-02-20T14:55:00+05:30,726.25,727.65,726.1,727.65,1676500
2024-02-20T15:00:00+05:30,727.63,728.63,727.0,727.5,2592196
2024-02-20T15:05:00+05:30,727.53,727.98,726.38,726.6,1933962
2024-02-20T15:10:00+05:30,726.83,727.38,725.53,727.25,2305060
2024-02-20T15:15:00+05:30,727.3,727.8,726.83,726.93,1828990
2024-02-20T15:20:00+05:30,726.9,726.98,726.38,726.53,1390574
2024-02-20T15:25:00+05:30,726.53,726.73,725.9,726.5,1197806
2024-02-21T09:15:00+05:30,732.0,732.0,722.53,724.9,2834846
2024-02-21T09:20:00+05:30,724.78,724.95,722.18,722.73,2281996
2024-02-21T09:25:00+05:30,722.68,724.65,722.28,724.6,717330
2024-02-21T09:30:00+05:30,724.55,724.58,723.5,723.55,893774
2024-02-21T09:35:00+05:30,723.55,725.85,723.5,725.85,1064260
2024-02-21T09:40:00+05:30,725.85,726.48,725.03,726.43,1299358
2024-02-21T09:45:00+05:30,726.43,727.25,726.0,726.3,1166478
2024-02-21T09:50:00+05:30,726.28,726.65,725.38,725.48,468742
2024-02-21T09:55:00+05:30,725.48,726.95,725.13,726.48,520222
2024-02-21T10:00:00+05:30,726.6,727.15,726.5,727.05,1552580
2024-02-21T10:05:00+05:30,727.03,727.05,725.63,726.4,1063826
2024-02-21T10:10:00+05:30,726.4,726.5,723.0,723.75,1047838
2024-02-21T10:15:00+05:30,723.58,725.1,722.7,722.95,1369444
2024-02-21T10:20:00+05:30,722.88,724.0,722.85,723.5,324982
2024-02-21T10:25:00+05:30,723.5,723.55,721.23,722.53,608708
2024-02-21T10:30:00+05:30,722.6,723.4,722.0,723.15,270804
2024-02-21T10:35:00+05:30,723.08,723.28,722.43,722.9,344988
2024-02-21T10:40:00+05:30,722.9,722.95,721.03,722.03,511106
2024-02-21T10:45:00+05:30,722.0,722.35,721.28,722.18,295744
2024-02-21T10:50:00+05:30,722.3,722.7,721.88,722.15,309722
2024-02-21T10:55:00+05:30,722.15,723.33,721.5,722.93,400548
2024-02-21T11:00:00+05:30,723.2,723.35,722.5,723.23,256892
2024-02-21T11:05:00+05:30,723.18,723.25,722.03,723.0,183156
2024-02-21T11:10:00+05:30,723.0,723.1,722.23,722.5,237750
2024-02-21T11:15:00+05:30,722.35,722.93,722.08,722.73,168584
2024-02-21T11:20:00+05:30,722.73,723.18,722.28,722.48,286364
2024-02-21T11:25:00+05:30,722.45,722.75,722.2,722.75,170246
2024-02-21T11:30:00+05:30,722.7,723.65,722.53,723.38,273020
2024-02-21T11:35:00+05:30,723.5,724.5,723.38,724.28,256636
2024-02-21T11:40:00+05:30,724.33,724.48,723.53,723.85,268230
2024-02-21T11:45:00+05:30,723.88,723.88,722.75,723.38,214416
2024-02-21T11:50:00+05:30,723.45,723.45,722.5,723.0,224998
2024-02-21T11:55:00+05:30,723.0,723.0,722.0,722.0,260420
2024-02-21T12:00:00+05:30,722.03,722.8,721.93,722.38,609494
2024-02-21T12:05:00+05:30,722.35,722.83,721.88,722.83,163950
2024-02-21T12:10:00+05:30,722.83,723.0,722.55,722.9,172808
2024-02-21T12:15:00+05:30,722.85,723.45,722.8,723.3,156312
2024-02-21T12:20:00+05:30,723.3,723.63,723.25,723.4,187190
2024-02-21T12:25:00+05:30,723.4,723.68,722.83,723.18,202878
2024-02-21T12:30:00+05:30,723.18,724.0,723.0,723.98,209996
2024-02-21T12:35:00+05:30,723.98,724.48,723.65,723.7,254552
2024-02-21T12:40:00+05:30,723.7,724.38,723.65,723.7,287524
2024-02-21T12:45:00+05:30,723.75,724.9,723.7,724.8,423822
2024-02-21T12:50:00+05:30,724.78,725.13,724.3,725.13,929654
2024-02-21T12:55:00+05:30,724.98,725.65,724.88,724.9,551550
2024-02-21T13:00:00+05:30,724.9,725.38,724.58,724.65,277464
2024-02-21T13:05:00+05:30,724.65,724.98,724.28,724.98,294410
2024-02-21T13:10:00+05:30,724.93,725.1,724.0,724.13,254984
2024-02-21T13:15:00+05:30,724.18,724.5,724.0,724.2,285942
2024-02-21T13:20:00+05:30,724.15,724.38,723.03,723.38,340436
2024-02-21T13:25:00+05:30,723.38,723.95,722.88,723.65,315134
2024-02-21T13:30:00+05:30,723.75,723.9,723.18,723.5,238672
2024-02-21T13:35:00+05:30,723.5,724.75,723.5,724.68,402670
2024-02-21T13:40:00+05:30,724.75,724.83,724.18,724.45,343072
2024-02-21T13:45:00+05:30,724.45,724.45,722.03,722.15,636712
2024-02-21T13:50:00+05:30,722.18,722.75,721.48,721.55,618692
2024-02-21T13:55:00+05:30,721.55,721.83,721.03,721.55,451058
2024-02-21T14:00:00+05:30,721.55,721.55,719.68,720.9,807052
2024-02-21T14:05:00+05:30,720.88,721.45,720.03,720.5,524356
2024-02-21T14:10:00+05:30,720.48,721.0,720.05,720.63,309106
2024-02-21T14:15:00+05:30,720.63,721.73,720.5,721.43,333672
2024-02-21T14:20:00+05:30,721.4,721.5,720.13,720.3,456274
2024-02-21T14:25:00+05:30,720.3,720.95,719.53,720.28,666092
2024-02-21T14:30:00+05:30,720.35,720.35,719.5,719.63,403212
2024-02-21T14:35:00+05:30,719.5,720.0,719.0,719.18,535524
2024-02-21T14:40:00+05:30,719.23,719.8,718.75,719.8,598070
2024-02-21T14:45:00+05:30,719.8,720.68,718.65,720.68,782150
2024-02-21T14:50:00+05:30,720.7,721.0,719.0,719.33,680900
2024-02-21T14:55:00+05:30,719.3,720.53,719.0,720.28,582360
2024-02-21T15:00:00+05:30,720.25,720.28,719.1,719.55,1134478
2024-02-21T15:05:00+05:30,719.43,721.5,719.33,721.15,1238788
2024-02-21T15:10:00+05:30,721.18,721.45,720.18,720.35,1232876
2024-02-21T15:15:00+05:30,720.35,720.5,718.95,719.15,1161850
2024-02-21T15:20:00+05:30,719.0,719.33,718.5,718.9,1334732
2024-02-21T15:25:00+05:30,718.83,718.9,717.5,718.0,1118310
2024-02-22T09:15:00+05:30,708.88,713.7,708.78,712.33,5557178
2024-02-22T09:20:00+05:30,712.33,714.4,711.85,713.98,2096544
2024-02-22T09:25:00+05:30,713.95,714.33,712.0,712.25,1061354
2024-02-22T09:30:00+05:30,712.28,712.4,710.65,711.0,1251844
2024-02-22T09:35:00+05:30,710.93,712.3,710.83,711.68,987552
2024-02-22T09:40:00+05:30,711.55,713.8,711.3,713.15,727446
2024-02-22T09:45:00+05:30,713.03,713.5,712.5,712.53,473742
2024-02-22T09:50:00+05:30,712.65,713.05,711.65,712.1,557508
2024-02-22T09:55:00+05:30,712.13,712.73,710.55,710.58,793896
2024-02-22T10:00:00+05:30,710.58,710.8,709.75,710.13,1330610
2024-02-22T10:05:00+05:30,710.13,710.83,709.55,710.5,624038
2024-02-22T10:10:00+05:30,710.48,710.75,709.6,709.75,440860
2024-02-22T10:15:00+05:30,709.73,709.9,709.08,709.33,477296
2024-02-22T10:20:00+05:30,709.33,709.65,707.9,708.2,782292
2024-02-22T10:25:00+05:30,708.25,708.83,708.0,708.13,614724
2024-02-22T10:30:00+05:30,708.38,708.5,707.2,707.28,1798252
2024-02-22T10:35:00+05:30,707.38,709.5,707.25,709.35,429928
2024-02-22T10:40:00+05:30,709.4,709.95,708.95,709.63,453728
2024-02-22T10:45:00+05:30,709.63,709.73,709.28,709.7,244298
2024-02-22T10:50:00+05:30,709.7,709.75,709.05,709.6,394928
2024-02-22T10:55:00+05:30,709.58,709.58,708.0,708.73,374218
2024-02-22T11:00:00+05:30,708.65,709.33,708.33,708.75,283168
2024-02-22T11:05:00+05:30,708.85,709.95,708.85,709.7,262684
2024-02-22T11:10:00+05:30,709.68,709.9,708.63,708.95,383916
2024-02-22T11:15:00+05:30,708.93,709.15,708.2,708.2,265438
2024-02-22T11:20:00+05:30,708.25,708.45,707.33,707.98,767308
2024-02-22T11:25:00+05:30,708.0,708.75,707.33,707.5,294188
2024-02-22T11:30:00+05:30,707.75,708.03,706.25,706.8,630612
2024-02-22T11:35:00+05:30,706.93,707.9,706.45,707.38,251662
2024-02-22T11:40:00+05:30,707.48,708.25,707.33,707.95,238900
2024-02-22T11:45:00+05:30,708.05,708.4,707.08,707.35,307398
2024-02-22T11:50:00+05:30,707.55,708.0,707.2,708.0,183254
